INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,WEB_MENU_CD,WEB_MENU_NAME,DEFAULT_MENU
,,,,,,,,0,"000000000000","000000000000-0000","000","システム管理メニュー",0
,,,,,,,,0,"000000000000","000000000000-0000","001","会社管理メニュー",0
