INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,WEB_MENU_CD,MENU_BAR_ID,MENU_BAR_NAME,SELECTED_ATR,SYSTEM,MENU_CLS,CODE,DISPLAY_ORDER
,,,,,,,,0,"000000000000","000000000000-0000","000","6810ec80-228c-42bc-96e1-86f263397134","マスタ管理",0,0,0,"    ",1
,,,,,,,,0,"000000000000","000000000000-0000","001","df02dbc2-fded-4729-a4dc-5e7595a018b3","管理",0,0,0,"    ",1
