INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CATEGORY_ID,TABLE_NO,TABLE_JAPAN_NAME,TABLE_ENGLISH_NAME,TIME_STOP_DELETE,HAS_PARENT_TBL_FLG,PARENT_TBL_NAME,PARENT_TBL_JP_NAME,FIELD_ACQ_DATE_TIME,FIELD_ACQ_END_DATE,FIELD_ACQ_EMPLOYEE_ID,FIELD_ACQ_START_DATE,FIELD_ACQ_CID,FIELD_PARENT_1,FIELD_PARENT_2,FIELD_PARENT_3,FIELD_PARENT_4,FIELD_PARENT_5,FIELD_PARENT_6,FIELD_PARENT_7,FIELD_PARENT_8,FIELD_PARENT_9,FIELD_PARENT_10,FIELD_CHILD_1,FIELD_CHILD_2,FIELD_CHILD_3,FIELD_CHILD_4,FIELD_CHILD_5,FIELD_CHILD_6,FIELD_CHILD_7,FIELD_CHILD_8,FIELD_CHILD_9,FIELD_CHILD_10,CLS_KEY_QUERY_1,CLS_KEY_QUERY_2,CLS_KEY_QUERY_3,CLS_KEY_QUERY_4,CLS_KEY_QUERY_5,CLS_KEY_QUERY_6,CLS_KEY_QUERY_7,CLS_KEY_QUERY_8,CLS_KEY_QUERY_9,CLS_KEY_QUERY_10,DEFAULT_COND_KEY_QUERY,FIELD_KEY_QUERY_1,FIELD_KEY_QUERY_2,FIELD_KEY_QUERY_3,FIELD_KEY_QUERY_4,FIELD_KEY_QUERY_5,FIELD_KEY_QUERY_6,FIELD_KEY_QUERY_7,FIELD_KEY_QUERY_8,FIELD_KEY_QUERY_9,FIELD_KEY_QUERY_10,FIELD_DATE_1,FIELD_DATE_2,FIELD_DATE_3,FIELD_DATE_4,FIELD_DATE_5,FIELD_DATE_6,FIELD_DATE_7,FIELD_DATE_8,FIELD_DATE_9,FIELD_DATE_10,FIELD_DATE_11,FIELD_DATE_12,FIELD_DATE_13,FIELD_DATE_14,FIELD_DATE_15,FIELD_DATE_16,FIELD_DATE_17,FIELD_DATE_18,FIELD_DATE_19,FIELD_DATE_20,FILED_KEY_UPDATE_1,FILED_KEY_UPDATE_2,FILED_KEY_UPDATE_3,FILED_KEY_UPDATE_4,FILED_KEY_UPDATE_5,FILED_KEY_UPDATE_6,FILED_KEY_UPDATE_7,FILED_KEY_UPDATE_8,FILED_KEY_UPDATE_9,FILED_KEY_UPDATE_10,FILED_KEY_UPDATE_11,FILED_KEY_UPDATE_12,FILED_KEY_UPDATE_13,FILED_KEY_UPDATE_14,FILED_KEY_UPDATE_15,FILED_KEY_UPDATE_16,FILED_KEY_UPDATE_17,FILED_KEY_UPDATE_18,FILED_KEY_UPDATE_19,FILED_KEY_UPDATE_20,HISTORY_CLS,SYSTEM_TYPE
,,,,,,,,0,"00503",2,"日別実績の所属情報","KRCDT_DAY_AFF_INFO","300",0,,,"YMD",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00503",3,"日別実績の勤務種別","KRCDT_DAY_INFO_BUS","300",0,,,"YMD",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00503",4,"日別実績の計算区分","KRCDT_DAY_INFO_CALC","300",0,,,"YMD",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00503",5,"日別実績のフレックス超過時間自動計算設定","KRCMT_CALC_SET_FLEX","300",1,"KRCDT_DAY_INFO_CALC","日別実績の計算区分","YMD",,"SID",,,"FLEX_EXCESS_TIME_ID",,,,,,,,,,"FLEX_EXCESS_TIME_ID",,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FLEX_EXCESS_TIME_ID",,,,,,,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00503",6,"日別実績の休出時間自動計算設定","KRCMT_CALC_SET_HD_WORK","300",1,"KRCDT_DAY_INFO_CALC","日別実績の計算区分","YMD",,"SID",,,"HOL_WORK_TIME_ID",,,,,,,,,,"HOL_WORK_TIME_ID",,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HOL_WORK_TIME_ID",,,,,,,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00503",7,"日別実績の残業時間自動計算設定","KRCMT_CALC_SET_OVER_TIME","300",1,"KRCDT_DAY_INFO_CALC","日別実績の計算区分","YMD",,"SID",,,"OVER_TIME_WORK_ID",,,,,,,,,,"OVER_TIME_WORK_ID",,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OVER_TIME_WORK_ID",,,,,,,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00503",8,"日別実績の特定日区分","KRCDT_DAY_INFO_SPECIFIC","300",0,,,"YMD",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YMD","SPE_DAY_ITEM_NO",,,,,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00503",9,"日別実績の勤務予定時間帯","KRCDT_DAY_TS_ATD_SCHE","300",0,,,"YMD",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YMD","WORK_NO",,,,,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00503",10,"日別実績の出退勤","KRCDT_DAY_TS_ATD","300",0,,,"YMD",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00503",11,"日別実績の臨時出退勤","KRCDT_DAY_TS_TEMPORARY","300",0,,,"YMD",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YMD",        ,                 ,,,,,,,,,,,,,,,,,0,1
