DOMAIN_ID,ITEM_NO,ITEM_NAME,ITEM_TYPE,REQUIRED,IS_PRIMARYKEY,CHECK_METHOD,FQN
114,5,"年休付与日数使用状況",2,1,0,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveGrantDayNumber"
114,6,"年休付与時間使用状況",4,1,0,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveGrantTime"
114,7,"年休使用数使用状況",2,1,0,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveUsedDayNumber"
114,8,"年休使用時間使用状況",4,1,0,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveUsedTime"
114,9,"年休残数使用状況",2,1,0,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveRemainingDayNumber"
114,10,"年休残時間使用状況",4,1,0,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveRemainingTime"
115,1,"社員コード",0,0,1,1,"nts.uk.ctx.bs.employee.dom.employeeinfo.EmployeeCode"
115,2,"積立休暇付与日",3,0,1,,""
115,3,"積立休暇期限日",3,1,0,,""
115,4,"積立休暇期限切れ状態",1,1,0,2,"nts.uk.ctx.at.shared.dom.remainingnumber.base.LeaveExpirationStatus"
115,5,"積休付与日数使用状況",2,1,0,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveGrantDayNumber"
115,6,"積休使用数使用状況",2,1,0,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveUsedDayNumber"
115,7,"積休残数使用状況",2,1,0,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveRemainingDayNumber"
116,1,"社員コード",0,0,1,1,"nts.uk.ctx.bs.employee.dom.employeeinfo.EmployeeCode"
116,2,"特別休暇コード",1,0,1,1,"nts.uk.ctx.at.shared.dom.remainingnumber.base.SpecialVacationCD"
116,3,"特別休暇管理",1,1,0,2,"nts.uk.ctx.at.shared.dom.scherec.dailyattdcal.bonuspay.enums.UseAtr"
116,4,"特別休暇付与基準日",3,1,0,,"nts.arc.time.GeneralDate"
117,1,"社員コード",0,0,1,1,"nts.uk.ctx.bs.employee.dom.employeeinfo.EmployeeCode"
117,2,"特別休暇コード",1,0,1,1,"nts.uk.ctx.at.shared.dom.remainingnumber.base.SpecialVacationCD"
117,3,"特別休暇付与日",3,0,1,,"nts.arc.time.GeneralDate"
117,4,"特別休暇期限日",3,1,0,,"nts.arc.time.GeneralDate"
117,5,"特別休暇期限切れ状態",1,1,0,2,"nts.uk.ctx.at.shared.dom.remainingnumber.base.LeaveExpirationStatus"
117,6,"特別休暇使用状況（付与日数）",2,1,0,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveGrantDayNumber"
117,7,"特別休暇使用状況（付与時間）",4,1,0,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveGrantTime"
117,8,"特別休暇使用状況（使用日数）",2,1,0,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveUsedDayNumber"
117,9,"特別休暇使用状況（使用時間）",4,1,0,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveUsedTime"
117,10,"特別休暇使用状況（残日数）",2,1,0,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveRemainingDayNumber"
117,11,"特別休暇使用状況（残時間）",4,1,0,1,"nts.uk.ctx.at.shared.dom.remainingnumber.common.empinfo.grantremainingdata.daynumber.LeaveRemainingTime"
118,1,"社員コード",0,1,0,1,"nts.uk.ctx.bs.employee.dom.employeeinfo.EmployeeCode"
118,2,"振休日",3,0,0,,"nts.uk.ctx.at.shared.dom.remainingnumber.base.CompensatoryDayoffDate"
118,3,"振休日数",2,1,0,1,"nts.uk.ctx.at.shared.dom.remainingnumber.base.ManagementDataDaysAtr"
119,1,"社員コード",0,1,0,1,"nts.uk.ctx.bs.employee.dom.employeeinfo.EmployeeCode"
119,2,"振出日",3,0,0,,"nts.uk.ctx.at.shared.dom.remainingnumber.base.CompensatoryDayoffDate"
119,3,"使用期限日",3,1,0,,"nts.arc.time.GeneralDate"
119,4,"振出日数",2,1,0,1,"nts.uk.ctx.at.shared.dom.remainingnumber.base.ManagementDataDaysAtr"
120,1,"社員コード",0,1,0,1,"nts.uk.ctx.bs.employee.dom.employeeinfo.EmployeeCode"
120,2,"代休日",3,0,0,,""
120,3,"代休日数",2,1,0,1,"nts.uk.ctx.at.shared.dom.remainingnumber.base.ManagementDataDaysAtr"
120,4,"代休時間数",4,1,0,1,"nts.uk.ctx.at.shared.dom.remainingnumber.base.ManagementDataHours"
121,1,"社員コード",0,1,0,1,"nts.uk.ctx.bs.employee.dom.employeeinfo.EmployeeCode"
121,2,"休出日",3,0,0,,""
121,3,"使用期限日",3,1,0,,"nts.arc.time.GeneralDate"
121,4,"休出日数",2,1,0,1,"nts.uk.ctx.at.shared.dom.remainingnumber.base.ManagementDataDaysAtr"
121,5,"休出時間数",4,1,0,1,"nts.uk.ctx.at.shared.dom.remainingnumber.base.ManagementDataHours"
121,6,"１日相当時間",4,1,0,1,"nts.uk.ctx.at.shared.dom.common.time.AttendanceTime"
121,7,"半日相当時間",4,1,0,1,"nts.uk.ctx.at.shared.dom.common.time.AttendanceTime"
