INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,PER_INFO_ITEM_DEFINITION_ID,PER_INFO_CTG_ID,DISPORDER,DISPLAY_ORDER
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00001_IS00001","TEN1_COM0_000000000000000000_CS00001",1,1
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00001_IS00002","TEN1_COM0_000000000000000000_CS00001",2,2
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00002_IS00003","TEN1_COM0_000000000000000000_CS00002",1,1
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00002_IS00004","TEN1_COM0_000000000000000000_CS00002",2,2
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00002_IS00005","TEN1_COM0_000000000000000000_CS00002",3,3
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00002_IS00006","TEN1_COM0_000000000000000000_CS00002",4,4
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00002_IS00007","TEN1_COM0_000000000000000000_CS00002",5,5
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00002_IS00008","TEN1_COM0_000000000000000000_CS00002",6,6
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00002_IS00009","TEN1_COM0_000000000000000000_CS00002",7,7
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00002_IS00010","TEN1_COM0_000000000000000000_CS00002",8,8
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00002_IS00011","TEN1_COM0_000000000000000000_CS00002",9,9
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00002_IS00012","TEN1_COM0_000000000000000000_CS00002",10,10
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00002_IS00013","TEN1_COM0_000000000000000000_CS00002",11,11
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00002_IS00014","TEN1_COM0_000000000000000000_CS00002",12,12
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00002_IS00015","TEN1_COM0_000000000000000000_CS00002",13,13
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00002_IS00016","TEN1_COM0_000000000000000000_CS00002",14,14
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00002_IS00017","TEN1_COM0_000000000000000000_CS00002",15,15
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00002_IS00018","TEN1_COM0_000000000000000000_CS00002",16,16
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00002_IS00019","TEN1_COM0_000000000000000000_CS00002",17,17
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00003_IS00020","TEN1_COM0_000000000000000000_CS00003",1,1
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00003_IS00021","TEN1_COM0_000000000000000000_CS00003",2,2
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00003_IS00022","TEN1_COM0_000000000000000000_CS00003",3,3
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00003_IS00024","TEN1_COM0_000000000000000000_CS00003",5,5
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00004_IS00025","TEN1_COM0_000000000000000000_CS00004",1,1
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00004_IS00026","TEN1_COM0_000000000000000000_CS00004",2,2
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00004_IS00027","TEN1_COM0_000000000000000000_CS00004",3,3
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00004_IS00028","TEN1_COM0_000000000000000000_CS00004",4,4
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00014_IS00065","TEN1_COM0_000000000000000000_CS00014",1,1
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00014_IS00066","TEN1_COM0_000000000000000000_CS00014",2,2
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00014_IS00067","TEN1_COM0_000000000000000000_CS00014",3,3
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00014_IS00068","TEN1_COM0_000000000000000000_CS00014",4,4
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00014_IS00069","TEN1_COM0_000000000000000000_CS00014",5,5
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00015_IS00070","TEN1_COM0_000000000000000000_CS00015",1,1
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00015_IS00071","TEN1_COM0_000000000000000000_CS00015",2,2
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00015_IS00072","TEN1_COM0_000000000000000000_CS00015",3,3
,,,,,,,,0,"000000000001","TEN1_COM0_0000000000_CS00015_IS00073","TEN1_COM0_000000000000000000_CS00015",4,4
