INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,OPTIONAL_ITEM_NO,OPTIONAL_ITEM_NAME,OPTIONAL_ITEM_ATR,USAGE_ATR,PERFORMANCE_ATR,EMP_CONDITION_ATR,UNIT_OF_OPTIONAL_ITEM
,,,,,,,,"0","000000000000","000000000000-0000","74","任意項目74","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","75","任意項目75","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","76","任意項目76","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","77","任意項目77","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","78","任意項目78","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","79","任意項目79","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","80","任意項目80","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","81","任意項目81","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","82","任意項目82","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","83","任意項目83","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","84","任意項目84","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","85","任意項目85","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","86","任意項目86","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","87","任意項目87","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","88","任意項目88","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","89","任意項目89","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","90","任意項目90","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","91","任意項目91","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","92","任意項目92","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","93","任意項目93","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","94","任意項目94","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","95","任意項目95","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","96","任意項目96","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","97","任意項目97","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","98","任意項目98","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","99","任意項目99","0","0","1","0",
,,,,,,,,"0","000000000000","000000000000-0000","100","任意項目100","0","0","1","0",
