INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,LAYOUT_ID,DISPORDER,PER_INFO_CATEGORY_ID,LAYOUT_ITEM_TYPE
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000_NEW_LAYOUT",1,"TEN0_COM0_000000000000000000_CS00002",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000_NEW_LAYOUT",2,"TEN0_COM0_000000000000000000_CS00002",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000_NEW_LAYOUT",3,"TEN0_COM0_000000000000000000_CS00002",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000_NEW_LAYOUT",4,"TEN0_COM0_000000000000000000_CS00002",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000_NEW_LAYOUT",6,"TEN0_COM0_000000000000000000_CS00014",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000_NEW_LAYOUT",7,"TEN0_COM0_000000000000000000_CS00016",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000_NEW_LAYOUT",8,"TEN0_COM0_000000000000000000_CS00017",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000_NEW_LAYOUT",10,"TEN0_COM0_000000000000000000_CS00020",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000_NEW_LAYOUT",11,"TEN0_COM0_000000000000000000_CS00020",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000_NEW_LAYOUT",12,"TEN0_COM0_000000000000000000_CS00020",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000_NEW_LAYOUT",13,"TEN0_COM0_000000000000000000_CS00020",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000_NEW_LAYOUT",14,"TEN0_COM0_000000000000000000_CS00020",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000_NEW_LAYOUT",16,"TEN0_COM0_000000000000000000_CS00024",0
