INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,HIST_ID,SELECTION_ITEM_ID,START_DATE,END_DATE
,,,,,,,,0,"000000000000","000000000000-0000","TEN0_COM0_HIST_ITEM1_000000000000001","ITEM_0000000000000000000000000000001","1900/01/01 0:00:00","9999/12/31 0:00:00"
,,,,,,,,0,"000000000000","000000000000-0000","TEN0_COM0_HIST_ITEM2_000000000000001","ITEM_0000000000000000000000000000002","1900/01/01 0:00:00","9999/12/31 0:00:00"
