INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CID,CND_SET_CD,OUT_ITEM_CD,HOUR_MIN_SELECT,MINUTE_FRACTION_DIGIT,DECIMAL_FRACTION,DECIMAL_SELECT,OUTPUT_MINUS_AS_ZERO,DELIMITER_SET,CALC_ATR,FIXED_VALUE_CALC_SYMBOL,FIXED_CALC_VAL,FIXED_LENGTH_OUTPUT,FIXED_LENGTH_INTEGER_DIGIT,FIXED_LENGTH_EDIT_METHOD,NULL_REPLACE_VAL_ATR,NULL_REPLACE_VAL,FIXED_VAL_ATR,FIXED_VAL,CONTRACT_CD
,,,,,,,,0,"000000000000-0000","77630","0115",1,0,1,0,0,1,0,0,,0,0,0,0,,0,,"000000000000"
,,,,,,,,0,"000000000000-0000","77630","0116",1,0,1,0,0,1,0,0,,0,0,0,0,,0,,"000000000000"
,,,,,,,,0,"000000000000-0000","77630","0696",1,0,1,0,0,1,0,0,,0,0,0,0,,0,,"000000000000"
