INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,M_ATD_ITEM_ID,M_ATD_ITEM_NAME,DISP_NO,IS_ALLOW_CHANGE,LINE_BREAK_POS_NAME,M_ATD_ITEM_ATR,PRIMITIVE_VALUE,TWO_MONTHLY_DISPLAY,DISPLAY_NAME
,,,,,,,,0,"000000000000","000000000000-0000",925,"特別休暇使用日数付与後5",878,1,0,3,45,3,"{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",929,"特別休暇残日数5",879,1,0,3,41,2,"{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",930,"特別休暇残日数付与後5",880,1,0,3,41,2,"{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",933,"特別休暇残未消化日数5",881,1,0,3,45,3,"{0}残未消化日数"
,,,,,,,,0,"000000000000","000000000000-0000",935,"特別休暇付与日数5",882,1,0,3,42,3,"{0}付与日数"
,,,,,,,,0,"000000000000","000000000000-0000",936,"実特別休暇使用日数5",889,0,0,3,45,3,"実{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",937,"実特別休暇使用日数付与後5",890,0,0,3,45,3,"実{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",941,"実特別休暇残日数5",891,0,0,3,41,2,"実{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",942,"実特別休暇残日数付与後5",892,0,0,3,41,2,"実{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",945,"特別休暇使用日数6",898,1,0,3,45,3,"{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",946,"特別休暇使用日数付与後6",899,1,0,3,45,3,"{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",950,"特別休暇残日数6",900,1,0,3,41,2,"{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",951,"特別休暇残日数付与後6",901,1,0,3,41,2,"{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",954,"特別休暇残未消化日数6",902,1,0,3,45,3,"{0}残未消化日数"
,,,,,,,,0,"000000000000","000000000000-0000",956,"特別休暇付与日数6",903,1,0,3,42,3,"{0}付与日数"
,,,,,,,,0,"000000000000","000000000000-0000",957,"実特別休暇使用日数6",910,0,0,3,45,3,"実{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",958,"実特別休暇使用日数付与後6",911,0,0,3,45,3,"実{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",962,"実特別休暇残日数6",912,0,0,3,41,2,"実{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",963,"実特別休暇残日数付与後6",913,0,0,3,41,2,"実{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",966,"特別休暇使用日数7",919,1,0,3,45,3,"{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",967,"特別休暇使用日数付与後7",920,1,0,3,45,3,"{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",971,"特別休暇残日数7",921,1,0,3,41,2,"{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",972,"特別休暇残日数付与後7",922,1,0,3,41,2,"{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",975,"特別休暇残未消化日数7",923,1,0,3,45,3,"{0}残未消化日数"
,,,,,,,,0,"000000000000","000000000000-0000",977,"特別休暇付与日数7",924,1,0,3,42,3,"{0}付与日数"
,,,,,,,,0,"000000000000","000000000000-0000",978,"実特別休暇使用日数7",931,0,0,3,45,3,"実{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",979,"実特別休暇使用日数付与後7",932,0,0,3,45,3,"実{0}使用日数付与後"
