INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,SUP_NO,MAN_HR_ITEM_ID,CID,ATTENDANCE_ITEM_ID,CONTRACT_CD
,,,,,,,,0,3,27,"000000000000-0000",2308,"000000000000"
,,,,,,,,0,3,28,"000000000000-0000",2309,"000000000000"
,,,,,,,,0,3,29,"000000000000-0000",2310,"000000000000"
,,,,,,,,0,4,1,"000000000000-0000",959,"000000000000"
,,,,,,,,0,4,2,"000000000000-0000",960,"000000000000"
,,,,,,,,0,4,3,"000000000000-0000",1437,"000000000000"
,,,,,,,,0,4,4,"000000000000-0000",954,"000000000000"
,,,,,,,,0,4,5,"000000000000-0000",955,"000000000000"
,,,,,,,,0,4,6,"000000000000-0000",956,"000000000000"
,,,,,,,,0,4,7,"000000000000-0000",957,"000000000000"
,,,,,,,,0,4,8,"000000000000-0000",958,"000000000000"
,,,,,,,,0,4,10,"000000000000-0000",2311,"000000000000"
,,,,,,,,0,4,11,"000000000000-0000",2312,"000000000000"
,,,,,,,,0,4,12,"000000000000-0000",2313,"000000000000"
,,,,,,,,0,4,13,"000000000000-0000",2314,"000000000000"
,,,,,,,,0,4,14,"000000000000-0000",2315,"000000000000"
,,,,,,,,0,4,15,"000000000000-0000",2316,"000000000000"
,,,,,,,,0,4,16,"000000000000-0000",2317,"000000000000"
,,,,,,,,0,4,17,"000000000000-0000",2318,"000000000000"
,,,,,,,,0,4,18,"000000000000-0000",2319,"000000000000"
,,,,,,,,0,4,19,"000000000000-0000",2320,"000000000000"
,,,,,,,,0,4,20,"000000000000-0000",2321,"000000000000"
,,,,,,,,0,4,21,"000000000000-0000",2322,"000000000000"
,,,,,,,,0,4,22,"000000000000-0000",2323,"000000000000"
,,,,,,,,0,4,23,"000000000000-0000",2324,"000000000000"
,,,,,,,,0,4,24,"000000000000-0000",2325,"000000000000"
,,,,,,,,0,4,25,"000000000000-0000",2326,"000000000000"
,,,,,,,,0,4,26,"000000000000-0000",2327,"000000000000"
,,,,,,,,0,4,27,"000000000000-0000",2328,"000000000000"
,,,,,,,,0,4,28,"000000000000-0000",2329,"000000000000"
,,,,,,,,0,4,29,"000000000000-0000",2330,"000000000000"
,,,,,,,,0,5,1,"000000000000-0000",969,"000000000000"
,,,,,,,,0,5,2,"000000000000-0000",970,"000000000000"
,,,,,,,,0,5,3,"000000000000-0000",1481,"000000000000"
,,,,,,,,0,5,4,"000000000000-0000",964,"000000000000"
,,,,,,,,0,5,5,"000000000000-0000",965,"000000000000"
,,,,,,,,0,5,6,"000000000000-0000",966,"000000000000"
,,,,,,,,0,5,7,"000000000000-0000",967,"000000000000"
,,,,,,,,0,5,8,"000000000000-0000",968,"000000000000"
,,,,,,,,0,5,10,"000000000000-0000",2331,"000000000000"
,,,,,,,,0,5,11,"000000000000-0000",2332,"000000000000"
,,,,,,,,0,5,12,"000000000000-0000",2333,"000000000000"
,,,,,,,,0,5,13,"000000000000-0000",2334,"000000000000"
,,,,,,,,0,5,14,"000000000000-0000",2335,"000000000000"
,,,,,,,,0,5,15,"000000000000-0000",2336,"000000000000"
,,,,,,,,0,5,16,"000000000000-0000",2337,"000000000000"
,,,,,,,,0,5,17,"000000000000-0000",2338,"000000000000"
,,,,,,,,0,5,18,"000000000000-0000",2339,"000000000000"
,,,,,,,,0,5,19,"000000000000-0000",2340,"000000000000"
,,,,,,,,0,5,20,"000000000000-0000",2341,"000000000000"
,,,,,,,,0,5,21,"000000000000-0000",2342,"000000000000"
,,,,,,,,0,5,22,"000000000000-0000",2343,"000000000000"
,,,,,,,,0,5,23,"000000000000-0000",2344,"000000000000"
,,,,,,,,0,5,24,"000000000000-0000",2345,"000000000000"
,,,,,,,,0,5,25,"000000000000-0000",2346,"000000000000"
,,,,,,,,0,5,26,"000000000000-0000",2347,"000000000000"
,,,,,,,,0,5,27,"000000000000-0000",2348,"000000000000"
,,,,,,,,0,5,28,"000000000000-0000",2349,"000000000000"
,,,,,,,,0,5,29,"000000000000-0000",2350,"000000000000"
,,,,,,,,0,6,1,"000000000000-0000",979,"000000000000"
,,,,,,,,0,6,2,"000000000000-0000",980,"000000000000"
,,,,,,,,0,6,3,"000000000000-0000",1525,"000000000000"
,,,,,,,,0,6,4,"000000000000-0000",974,"000000000000"
,,,,,,,,0,6,5,"000000000000-0000",975,"000000000000"
,,,,,,,,0,6,6,"000000000000-0000",976,"000000000000"
,,,,,,,,0,6,7,"000000000000-0000",977,"000000000000"
,,,,,,,,0,6,8,"000000000000-0000",978,"000000000000"
,,,,,,,,0,6,10,"000000000000-0000",2351,"000000000000"
,,,,,,,,0,6,11,"000000000000-0000",2352,"000000000000"
,,,,,,,,0,6,12,"000000000000-0000",2353,"000000000000"
,,,,,,,,0,6,13,"000000000000-0000",2354,"000000000000"
,,,,,,,,0,6,14,"000000000000-0000",2355,"000000000000"
,,,,,,,,0,6,15,"000000000000-0000",2356,"000000000000"
,,,,,,,,0,6,16,"000000000000-0000",2357,"000000000000"
,,,,,,,,0,6,17,"000000000000-0000",2358,"000000000000"
,,,,,,,,0,6,18,"000000000000-0000",2359,"000000000000"
,,,,,,,,0,6,19,"000000000000-0000",2360,"000000000000"
,,,,,,,,0,6,20,"000000000000-0000",2361,"000000000000"
,,,,,,,,0,6,21,"000000000000-0000",2362,"000000000000"
,,,,,,,,0,6,22,"000000000000-0000",2363,"000000000000"
,,,,,,,,0,6,23,"000000000000-0000",2364,"000000000000"
,,,,,,,,0,6,24,"000000000000-0000",2365,"000000000000"
,,,,,,,,0,6,25,"000000000000-0000",2366,"000000000000"
,,,,,,,,0,6,26,"000000000000-0000",2367,"000000000000"
,,,,,,,,0,6,27,"000000000000-0000",2368,"000000000000"
,,,,,,,,0,6,28,"000000000000-0000",2369,"000000000000"
,,,,,,,,0,6,29,"000000000000-0000",2370,"000000000000"
,,,,,,,,0,7,1,"000000000000-0000",989,"000000000000"
,,,,,,,,0,7,2,"000000000000-0000",990,"000000000000"
,,,,,,,,0,7,3,"000000000000-0000",1569,"000000000000"
,,,,,,,,0,7,4,"000000000000-0000",984,"000000000000"
,,,,,,,,0,7,5,"000000000000-0000",985,"000000000000"
,,,,,,,,0,7,6,"000000000000-0000",986,"000000000000"
,,,,,,,,0,7,7,"000000000000-0000",987,"000000000000"
,,,,,,,,0,7,8,"000000000000-0000",988,"000000000000"
,,,,,,,,0,7,10,"000000000000-0000",2371,"000000000000"
,,,,,,,,0,7,11,"000000000000-0000",2372,"000000000000"
,,,,,,,,0,7,12,"000000000000-0000",2373,"000000000000"
,,,,,,,,0,7,13,"000000000000-0000",2374,"000000000000"
,,,,,,,,0,7,14,"000000000000-0000",2375,"000000000000"
,,,,,,,,0,7,15,"000000000000-0000",2376,"000000000000"
,,,,,,,,0,7,16,"000000000000-0000",2377,"000000000000"
,,,,,,,,0,7,17,"000000000000-0000",2378,"000000000000"
,,,,,,,,0,7,18,"000000000000-0000",2379,"000000000000"
,,,,,,,,0,7,19,"000000000000-0000",2380,"000000000000"
,,,,,,,,0,7,20,"000000000000-0000",2381,"000000000000"
,,,,,,,,0,7,21,"000000000000-0000",2382,"000000000000"
,,,,,,,,0,7,22,"000000000000-0000",2383,"000000000000"
,,,,,,,,0,7,23,"000000000000-0000",2384,"000000000000"
,,,,,,,,0,7,24,"000000000000-0000",2385,"000000000000"
,,,,,,,,0,7,25,"000000000000-0000",2386,"000000000000"
,,,,,,,,0,7,26,"000000000000-0000",2387,"000000000000"
,,,,,,,,0,7,27,"000000000000-0000",2388,"000000000000"
,,,,,,,,0,7,28,"000000000000-0000",2389,"000000000000"
,,,,,,,,0,7,29,"000000000000-0000",2390,"000000000000"
,,,,,,,,0,8,1,"000000000000-0000",999,"000000000000"
,,,,,,,,0,8,2,"000000000000-0000",1000,"000000000000"
,,,,,,,,0,8,3,"000000000000-0000",1613,"000000000000"
,,,,,,,,0,8,4,"000000000000-0000",994,"000000000000"
,,,,,,,,0,8,5,"000000000000-0000",995,"000000000000"
,,,,,,,,0,8,6,"000000000000-0000",996,"000000000000"
,,,,,,,,0,8,7,"000000000000-0000",997,"000000000000"
,,,,,,,,0,8,8,"000000000000-0000",998,"000000000000"
,,,,,,,,0,8,10,"000000000000-0000",2391,"000000000000"
,,,,,,,,0,8,11,"000000000000-0000",2392,"000000000000"
,,,,,,,,0,8,12,"000000000000-0000",2393,"000000000000"
,,,,,,,,0,8,13,"000000000000-0000",2394,"000000000000"
,,,,,,,,0,8,14,"000000000000-0000",2395,"000000000000"
,,,,,,,,0,8,15,"000000000000-0000",2396,"000000000000"
,,,,,,,,0,8,16,"000000000000-0000",2397,"000000000000"
,,,,,,,,0,8,17,"000000000000-0000",2398,"000000000000"
,,,,,,,,0,8,18,"000000000000-0000",2399,"000000000000"
,,,,,,,,0,8,19,"000000000000-0000",2400,"000000000000"
,,,,,,,,0,8,20,"000000000000-0000",2401,"000000000000"
,,,,,,,,0,8,21,"000000000000-0000",2402,"000000000000"
,,,,,,,,0,8,22,"000000000000-0000",2403,"000000000000"
,,,,,,,,0,8,23,"000000000000-0000",2404,"000000000000"
,,,,,,,,0,8,24,"000000000000-0000",2405,"000000000000"
,,,,,,,,0,8,25,"000000000000-0000",2406,"000000000000"
,,,,,,,,0,8,26,"000000000000-0000",2407,"000000000000"
,,,,,,,,0,8,27,"000000000000-0000",2408,"000000000000"
,,,,,,,,0,8,28,"000000000000-0000",2409,"000000000000"
,,,,,,,,0,8,29,"000000000000-0000",2410,"000000000000"
,,,,,,,,0,9,1,"000000000000-0000",1009,"000000000000"
,,,,,,,,0,9,2,"000000000000-0000",1010,"000000000000"
,,,,,,,,0,9,3,"000000000000-0000",1657,"000000000000"
,,,,,,,,0,9,4,"000000000000-0000",1004,"000000000000"
,,,,,,,,0,9,5,"000000000000-0000",1005,"000000000000"
,,,,,,,,0,9,6,"000000000000-0000",1006,"000000000000"
,,,,,,,,0,9,7,"000000000000-0000",1007,"000000000000"
,,,,,,,,0,9,8,"000000000000-0000",1008,"000000000000"
,,,,,,,,0,9,10,"000000000000-0000",2411,"000000000000"
,,,,,,,,0,9,11,"000000000000-0000",2412,"000000000000"
,,,,,,,,0,9,12,"000000000000-0000",2413,"000000000000"
,,,,,,,,0,9,13,"000000000000-0000",2414,"000000000000"
,,,,,,,,0,9,14,"000000000000-0000",2415,"000000000000"
,,,,,,,,0,9,15,"000000000000-0000",2416,"000000000000"
,,,,,,,,0,9,16,"000000000000-0000",2417,"000000000000"
,,,,,,,,0,9,17,"000000000000-0000",2418,"000000000000"
,,,,,,,,0,9,18,"000000000000-0000",2419,"000000000000"
,,,,,,,,0,9,19,"000000000000-0000",2420,"000000000000"
,,,,,,,,0,9,20,"000000000000-0000",2421,"000000000000"
,,,,,,,,0,9,21,"000000000000-0000",2422,"000000000000"
,,,,,,,,0,9,22,"000000000000-0000",2423,"000000000000"
,,,,,,,,0,9,23,"000000000000-0000",2424,"000000000000"
,,,,,,,,0,9,24,"000000000000-0000",2425,"000000000000"
,,,,,,,,0,9,25,"000000000000-0000",2426,"000000000000"
,,,,,,,,0,9,26,"000000000000-0000",2427,"000000000000"
,,,,,,,,0,9,27,"000000000000-0000",2428,"000000000000"
,,,,,,,,0,9,28,"000000000000-0000",2429,"000000000000"
,,,,,,,,0,9,29,"000000000000-0000",2430,"000000000000"
,,,,,,,,0,10,1,"000000000000-0000",1019,"000000000000"
,,,,,,,,0,10,2,"000000000000-0000",1020,"000000000000"
,,,,,,,,0,10,3,"000000000000-0000",1701,"000000000000"
,,,,,,,,0,10,4,"000000000000-0000",1014,"000000000000"
,,,,,,,,0,10,5,"000000000000-0000",1015,"000000000000"
,,,,,,,,0,10,6,"000000000000-0000",1016,"000000000000"
,,,,,,,,0,10,7,"000000000000-0000",1017,"000000000000"
,,,,,,,,0,10,8,"000000000000-0000",1018,"000000000000"
,,,,,,,,0,10,10,"000000000000-0000",2431,"000000000000"
,,,,,,,,0,10,11,"000000000000-0000",2432,"000000000000"
,,,,,,,,0,10,12,"000000000000-0000",2433,"000000000000"
,,,,,,,,0,10,13,"000000000000-0000",2434,"000000000000"
,,,,,,,,0,10,14,"000000000000-0000",2435,"000000000000"
,,,,,,,,0,10,15,"000000000000-0000",2436,"000000000000"
,,,,,,,,0,10,16,"000000000000-0000",2437,"000000000000"
,,,,,,,,0,10,17,"000000000000-0000",2438,"000000000000"
,,,,,,,,0,10,18,"000000000000-0000",2439,"000000000000"
,,,,,,,,0,10,19,"000000000000-0000",2440,"000000000000"
,,,,,,,,0,10,20,"000000000000-0000",2441,"000000000000"
,,,,,,,,0,10,21,"000000000000-0000",2442,"000000000000"
,,,,,,,,0,10,22,"000000000000-0000",2443,"000000000000"
,,,,,,,,0,10,23,"000000000000-0000",2444,"000000000000"
,,,,,,,,0,10,24,"000000000000-0000",2445,"000000000000"
,,,,,,,,0,10,25,"000000000000-0000",2446,"000000000000"
,,,,,,,,0,10,26,"000000000000-0000",2447,"000000000000"
,,,,,,,,0,10,27,"000000000000-0000",2448,"000000000000"
,,,,,,,,0,10,28,"000000000000-0000",2449,"000000000000"
,,,,,,,,0,10,29,"000000000000-0000",2450,"000000000000"
,,,,,,,,0,11,1,"000000000000-0000",1029,"000000000000"
,,,,,,,,0,11,2,"000000000000-0000",1030,"000000000000"
,,,,,,,,0,11,3,"000000000000-0000",1745,"000000000000"
,,,,,,,,0,11,4,"000000000000-0000",1024,"000000000000"
,,,,,,,,0,11,5,"000000000000-0000",1025,"000000000000"
,,,,,,,,0,11,6,"000000000000-0000",1026,"000000000000"
,,,,,,,,0,11,7,"000000000000-0000",1027,"000000000000"
,,,,,,,,0,11,8,"000000000000-0000",1028,"000000000000"
,,,,,,,,0,11,10,"000000000000-0000",2451,"000000000000"
,,,,,,,,0,11,11,"000000000000-0000",2452,"000000000000"
,,,,,,,,0,11,12,"000000000000-0000",2453,"000000000000"
,,,,,,,,0,11,13,"000000000000-0000",2454,"000000000000"
,,,,,,,,0,11,14,"000000000000-0000",2455,"000000000000"
,,,,,,,,0,11,15,"000000000000-0000",2456,"000000000000"
,,,,,,,,0,11,16,"000000000000-0000",2457,"000000000000"
,,,,,,,,0,11,17,"000000000000-0000",2458,"000000000000"
,,,,,,,,0,11,18,"000000000000-0000",2459,"000000000000"
,,,,,,,,0,11,19,"000000000000-0000",2460,"000000000000"
,,,,,,,,0,11,20,"000000000000-0000",2461,"000000000000"
,,,,,,,,0,11,21,"000000000000-0000",2462,"000000000000"
,,,,,,,,0,11,22,"000000000000-0000",2463,"000000000000"
,,,,,,,,0,11,23,"000000000000-0000",2464,"000000000000"
,,,,,,,,0,11,24,"000000000000-0000",2465,"000000000000"
,,,,,,,,0,11,25,"000000000000-0000",2466,"000000000000"
,,,,,,,,0,11,26,"000000000000-0000",2467,"000000000000"
,,,,,,,,0,11,27,"000000000000-0000",2468,"000000000000"
,,,,,,,,0,11,28,"000000000000-0000",2469,"000000000000"
,,,,,,,,0,11,29,"000000000000-0000",2470,"000000000000"
,,,,,,,,0,12,1,"000000000000-0000",1039,"000000000000"
,,,,,,,,0,12,2,"000000000000-0000",1040,"000000000000"
,,,,,,,,0,12,3,"000000000000-0000",1789,"000000000000"
,,,,,,,,0,12,4,"000000000000-0000",1034,"000000000000"
,,,,,,,,0,12,5,"000000000000-0000",1035,"000000000000"
,,,,,,,,0,12,6,"000000000000-0000",1036,"000000000000"
,,,,,,,,0,12,7,"000000000000-0000",1037,"000000000000"
,,,,,,,,0,12,8,"000000000000-0000",1038,"000000000000"
,,,,,,,,0,12,10,"000000000000-0000",2471,"000000000000"
,,,,,,,,0,12,11,"000000000000-0000",2472,"000000000000"
,,,,,,,,0,12,12,"000000000000-0000",2473,"000000000000"
,,,,,,,,0,12,13,"000000000000-0000",2474,"000000000000"
,,,,,,,,0,12,14,"000000000000-0000",2475,"000000000000"
,,,,,,,,0,12,15,"000000000000-0000",2476,"000000000000"
,,,,,,,,0,12,16,"000000000000-0000",2477,"000000000000"
,,,,,,,,0,12,17,"000000000000-0000",2478,"000000000000"
,,,,,,,,0,12,18,"000000000000-0000",2479,"000000000000"
,,,,,,,,0,12,19,"000000000000-0000",2480,"000000000000"
,,,,,,,,0,12,20,"000000000000-0000",2481,"000000000000"
,,,,,,,,0,12,21,"000000000000-0000",2482,"000000000000"
,,,,,,,,0,12,22,"000000000000-0000",2483,"000000000000"
,,,,,,,,0,12,23,"000000000000-0000",2484,"000000000000"
,,,,,,,,0,12,24,"000000000000-0000",2485,"000000000000"
,,,,,,,,0,12,25,"000000000000-0000",2486,"000000000000"
,,,,,,,,0,12,26,"000000000000-0000",2487,"000000000000"
,,,,,,,,0,12,27,"000000000000-0000",2488,"000000000000"
,,,,,,,,0,12,28,"000000000000-0000",2489,"000000000000"
,,,,,,,,0,12,29,"000000000000-0000",2490,"000000000000"
,,,,,,,,0,13,1,"000000000000-0000",1049,"000000000000"
,,,,,,,,0,13,2,"000000000000-0000",1050,"000000000000"
,,,,,,,,0,13,3,"000000000000-0000",1833,"000000000000"
,,,,,,,,0,13,4,"000000000000-0000",1044,"000000000000"
,,,,,,,,0,13,5,"000000000000-0000",1045,"000000000000"
,,,,,,,,0,13,6,"000000000000-0000",1046,"000000000000"
,,,,,,,,0,13,7,"000000000000-0000",1047,"000000000000"
,,,,,,,,0,13,8,"000000000000-0000",1048,"000000000000"
,,,,,,,,0,13,10,"000000000000-0000",2491,"000000000000"
,,,,,,,,0,13,11,"000000000000-0000",2492,"000000000000"
,,,,,,,,0,13,12,"000000000000-0000",2493,"000000000000"
,,,,,,,,0,13,13,"000000000000-0000",2494,"000000000000"
,,,,,,,,0,13,14,"000000000000-0000",2495,"000000000000"
,,,,,,,,0,13,15,"000000000000-0000",2496,"000000000000"
,,,,,,,,0,13,16,"000000000000-0000",2497,"000000000000"
,,,,,,,,0,13,17,"000000000000-0000",2498,"000000000000"
,,,,,,,,0,13,18,"000000000000-0000",2499,"000000000000"
,,,,,,,,0,13,19,"000000000000-0000",2500,"000000000000"
,,,,,,,,0,13,20,"000000000000-0000",2501,"000000000000"
,,,,,,,,0,13,21,"000000000000-0000",2502,"000000000000"
,,,,,,,,0,13,22,"000000000000-0000",2503,"000000000000"
,,,,,,,,0,13,23,"000000000000-0000",2504,"000000000000"
,,,,,,,,0,13,24,"000000000000-0000",2505,"000000000000"
,,,,,,,,0,13,25,"000000000000-0000",2506,"000000000000"
,,,,,,,,0,13,26,"000000000000-0000",2507,"000000000000"
,,,,,,,,0,13,27,"000000000000-0000",2508,"000000000000"
,,,,,,,,0,13,28,"000000000000-0000",2509,"000000000000"
,,,,,,,,0,13,29,"000000000000-0000",2510,"000000000000"
,,,,,,,,0,14,1,"000000000000-0000",1059,"000000000000"
,,,,,,,,0,14,2,"000000000000-0000",1060,"000000000000"
,,,,,,,,0,14,3,"000000000000-0000",1877,"000000000000"
,,,,,,,,0,14,4,"000000000000-0000",1054,"000000000000"
,,,,,,,,0,14,5,"000000000000-0000",1055,"000000000000"
,,,,,,,,0,14,6,"000000000000-0000",1056,"000000000000"
,,,,,,,,0,14,7,"000000000000-0000",1057,"000000000000"
,,,,,,,,0,14,8,"000000000000-0000",1058,"000000000000"
,,,,,,,,0,14,10,"000000000000-0000",2511,"000000000000"
,,,,,,,,0,14,11,"000000000000-0000",2512,"000000000000"
,,,,,,,,0,14,12,"000000000000-0000",2513,"000000000000"
,,,,,,,,0,14,13,"000000000000-0000",2514,"000000000000"
,,,,,,,,0,14,14,"000000000000-0000",2515,"000000000000"
,,,,,,,,0,14,15,"000000000000-0000",2516,"000000000000"
,,,,,,,,0,14,16,"000000000000-0000",2517,"000000000000"
,,,,,,,,0,14,17,"000000000000-0000",2518,"000000000000"
,,,,,,,,0,14,18,"000000000000-0000",2519,"000000000000"
,,,,,,,,0,14,19,"000000000000-0000",2520,"000000000000"
,,,,,,,,0,14,20,"000000000000-0000",2521,"000000000000"
,,,,,,,,0,14,21,"000000000000-0000",2522,"000000000000"
,,,,,,,,0,14,22,"000000000000-0000",2523,"000000000000"
,,,,,,,,0,14,23,"000000000000-0000",2524,"000000000000"
,,,,,,,,0,14,24,"000000000000-0000",2525,"000000000000"
,,,,,,,,0,14,25,"000000000000-0000",2526,"000000000000"
,,,,,,,,0,14,26,"000000000000-0000",2527,"000000000000"
,,,,,,,,0,14,27,"000000000000-0000",2528,"000000000000"
,,,,,,,,0,14,28,"000000000000-0000",2529,"000000000000"
,,,,,,,,0,14,29,"000000000000-0000",2530,"000000000000"
,,,,,,,,0,15,1,"000000000000-0000",1069,"000000000000"
,,,,,,,,0,15,2,"000000000000-0000",1070,"000000000000"
,,,,,,,,0,15,3,"000000000000-0000",1921,"000000000000"
,,,,,,,,0,15,4,"000000000000-0000",1064,"000000000000"
,,,,,,,,0,15,5,"000000000000-0000",1065,"000000000000"
