INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,ATTENDANCEITEM_ID,SCREEN_USE_ATR,ATTENDANCEITEM_TYPE
,,,,,,,,0,"00000000","000000000000-0000",32,2,2
,,,,,,,,0,"00000000","000000000000-0000",32,16,2
,,,,,,,,0,"00000000","000000000000-0000",32,20,2
,,,,,,,,0,"00000000","000000000000-0000",33,16,2
,,,,,,,,0,"00000000","000000000000-0000",33,19,1
,,,,,,,,0,"00000000","000000000000-0000",33,20,2
,,,,,,,,0,"00000000","000000000000-0000",34,15,1
,,,,,,,,0,"00000000","000000000000-0000",34,16,2
,,,,,,,,0,"00000000","000000000000-0000",34,19,1
,,,,,,,,0,"00000000","000000000000-0000",34,20,2
,,,,,,,,0,"00000000","000000000000-0000",35,2,2
,,,,,,,,0,"00000000","000000000000-0000",35,16,2
,,,,,,,,0,"00000000","000000000000-0000",35,20,2
,,,,,,,,0,"00000000","000000000000-0000",36,2,2
,,,,,,,,0,"00000000","000000000000-0000",36,16,2
,,,,,,,,0,"00000000","000000000000-0000",36,19,1
,,,,,,,,0,"00000000","000000000000-0000",36,20,2
,,,,,,,,0,"00000000","000000000000-0000",37,2,2
,,,,,,,,0,"00000000","000000000000-0000",37,15,1
,,,,,,,,0,"00000000","000000000000-0000",37,16,2
,,,,,,,,0,"00000000","000000000000-0000",37,19,1
,,,,,,,,0,"00000000","000000000000-0000",37,20,2
,,,,,,,,0,"00000000","000000000000-0000",38,2,2
,,,,,,,,0,"00000000","000000000000-0000",38,16,2
,,,,,,,,0,"00000000","000000000000-0000",38,19,1
,,,,,,,,0,"00000000","000000000000-0000",38,20,2
,,,,,,,,0,"00000000","000000000000-0000",39,2,2
,,,,,,,,0,"00000000","000000000000-0000",39,15,1
,,,,,,,,0,"00000000","000000000000-0000",39,16,2
,,,,,,,,0,"00000000","000000000000-0000",39,19,1
,,,,,,,,0,"00000000","000000000000-0000",39,20,2
,,,,,,,,0,"00000000","000000000000-0000",40,2,2
,,,,,,,,0,"00000000","000000000000-0000",40,16,2
,,,,,,,,0,"00000000","000000000000-0000",40,19,1
,,,,,,,,0,"00000000","000000000000-0000",40,20,2
,,,,,,,,0,"00000000","000000000000-0000",41,2,2
,,,,,,,,0,"00000000","000000000000-0000",41,15,1
,,,,,,,,0,"00000000","000000000000-0000",41,16,2
,,,,,,,,0,"00000000","000000000000-0000",41,19,1
,,,,,,,,0,"00000000","000000000000-0000",41,20,2
,,,,,,,,0,"00000000","000000000000-0000",42,2,2
,,,,,,,,0,"00000000","000000000000-0000",42,16,2
,,,,,,,,0,"00000000","000000000000-0000",42,20,2
,,,,,,,,0,"00000000","000000000000-0000",43,2,2
,,,,,,,,0,"00000000","000000000000-0000",43,16,2
,,,,,,,,0,"00000000","000000000000-0000",43,19,1
,,,,,,,,0,"00000000","000000000000-0000",43,20,2
,,,,,,,,0,"00000000","000000000000-0000",44,2,2
,,,,,,,,0,"00000000","000000000000-0000",44,15,1
,,,,,,,,0,"00000000","000000000000-0000",44,16,2
,,,,,,,,0,"00000000","000000000000-0000",44,19,1
,,,,,,,,0,"00000000","000000000000-0000",44,20,2
,,,,,,,,0,"00000000","000000000000-0000",45,16,2
,,,,,,,,0,"00000000","000000000000-0000",45,20,2
,,,,,,,,0,"00000000","000000000000-0000",46,16,2
,,,,,,,,0,"00000000","000000000000-0000",46,19,1
,,,,,,,,0,"00000000","000000000000-0000",46,20,2
,,,,,,,,0,"00000000","000000000000-0000",47,15,1
,,,,,,,,0,"00000000","000000000000-0000",47,16,2
,,,,,,,,0,"00000000","000000000000-0000",47,19,1
,,,,,,,,0,"00000000","000000000000-0000",47,20,2
,,,,,,,,0,"00000000","000000000000-0000",48,16,2
,,,,,,,,0,"00000000","000000000000-0000",48,19,1
,,,,,,,,0,"00000000","000000000000-0000",48,20,2
,,,,,,,,0,"00000000","000000000000-0000",49,15,1
,,,,,,,,0,"00000000","000000000000-0000",49,16,2
,,,,,,,,0,"00000000","000000000000-0000",49,19,1
,,,,,,,,0,"00000000","000000000000-0000",49,20,2
,,,,,,,,0,"00000000","000000000000-0000",50,16,2
,,,,,,,,0,"00000000","000000000000-0000",50,20,2
,,,,,,,,0,"00000000","000000000000-0000",51,16,2
,,,,,,,,0,"00000000","000000000000-0000",51,20,2
,,,,,,,,0,"00000000","000000000000-0000",52,16,2
,,,,,,,,0,"00000000","000000000000-0000",52,20,2
,,,,,,,,0,"00000000","000000000000-0000",53,16,2
,,,,,,,,0,"00000000","000000000000-0000",53,20,2
,,,,,,,,0,"00000000","000000000000-0000",54,16,2
,,,,,,,,0,"00000000","000000000000-0000",54,20,2
,,,,,,,,0,"00000000","000000000000-0000",55,16,2
,,,,,,,,0,"00000000","000000000000-0000",55,20,2
,,,,,,,,0,"00000000","000000000000-0000",56,16,2
,,,,,,,,0,"00000000","000000000000-0000",56,20,2
,,,,,,,,0,"00000000","000000000000-0000",57,16,2
,,,,,,,,0,"00000000","000000000000-0000",57,20,2
,,,,,,,,0,"00000000","000000000000-0000",58,16,2
,,,,,,,,0,"00000000","000000000000-0000",58,20,2
,,,,,,,,0,"00000000","000000000000-0000",59,16,2
,,,,,,,,0,"00000000","000000000000-0000",59,20,2
,,,,,,,,0,"00000000","000000000000-0000",60,16,2
,,,,,,,,0,"00000000","000000000000-0000",60,20,2
,,,,,,,,0,"00000000","000000000000-0000",61,16,2
,,,,,,,,0,"00000000","000000000000-0000",61,20,2
,,,,,,,,0,"00000000","000000000000-0000",62,16,2
,,,,,,,,0,"00000000","000000000000-0000",62,20,2
,,,,,,,,0,"00000000","000000000000-0000",63,16,2
,,,,,,,,0,"00000000","000000000000-0000",63,20,2
,,,,,,,,0,"00000000","000000000000-0000",64,16,2
,,,,,,,,0,"00000000","000000000000-0000",64,20,2
,,,,,,,,0,"00000000","000000000000-0000",65,16,2
,,,,,,,,0,"00000000","000000000000-0000",65,20,2
,,,,,,,,0,"00000000","000000000000-0000",66,16,2
,,,,,,,,0,"00000000","000000000000-0000",66,20,2
,,,,,,,,0,"00000000","000000000000-0000",67,16,2
,,,,,,,,0,"00000000","000000000000-0000",67,20,2
,,,,,,,,0,"00000000","000000000000-0000",74,19,1
,,,,,,,,0,"00000000","000000000000-0000",75,15,1
,,,,,,,,0,"00000000","000000000000-0000",75,19,1
,,,,,,,,0,"00000000","000000000000-0000",76,19,1
,,,,,,,,0,"00000000","000000000000-0000",77,15,1
,,,,,,,,0,"00000000","000000000000-0000",77,19,1
,,,,,,,,0,"00000000","000000000000-0000",78,19,1
,,,,,,,,0,"00000000","000000000000-0000",90,16,2
,,,,,,,,0,"00000000","000000000000-0000",90,20,2
,,,,,,,,0,"00000000","000000000000-0000",91,16,2
,,,,,,,,0,"00000000","000000000000-0000",91,20,2
,,,,,,,,0,"00000000","000000000000-0000",92,16,2
,,,,,,,,0,"00000000","000000000000-0000",92,20,2
,,,,,,,,0,"00000000","000000000000-0000",93,16,2
,,,,,,,,0,"00000000","000000000000-0000",93,20,2
,,,,,,,,0,"00000000","000000000000-0000",94,16,2
