ins_date,ins_ccd,ins_scd,ins_pg,upd_date,upd_ccd,upd_scd,upd_pg,exclus_ver,contract_cd,cid,attendance_item_id,order_sorted
,,,,,,,,0,"000000000000","000000000000-0000",296,281
,,,,,,,,0,"000000000000","000000000000-0000",297,282
,,,,,,,,0,"000000000000","000000000000-0000",298,283
,,,,,,,,0,"000000000000","000000000000-0000",299,284
,,,,,,,,0,"000000000000","000000000000-0000",300,285
,,,,,,,,0,"000000000000","000000000000-0000",301,286
,,,,,,,,0,"000000000000","000000000000-0000",302,287
,,,,,,,,0,"000000000000","000000000000-0000",303,288
,,,,,,,,0,"000000000000","000000000000-0000",304,289
,,,,,,,,0,"000000000000","000000000000-0000",305,290
,,,,,,,,0,"000000000000","000000000000-0000",306,291
,,,,,,,,0,"000000000000","000000000000-0000",307,292
,,,,,,,,0,"000000000000","000000000000-0000",308,293
,,,,,,,,0,"000000000000","000000000000-0000",309,294
,,,,,,,,0,"000000000000","000000000000-0000",310,295
,,,,,,,,0,"000000000000","000000000000-0000",311,296
,,,,,,,,0,"000000000000","000000000000-0000",312,297
,,,,,,,,0,"000000000000","000000000000-0000",313,298
,,,,,,,,0,"000000000000","000000000000-0000",314,299
,,,,,,,,0,"000000000000","000000000000-0000",315,300
,,,,,,,,0,"000000000000","000000000000-0000",316,446
,,,,,,,,0,"000000000000","000000000000-0000",317,447
,,,,,,,,0,"000000000000","000000000000-0000",318,448
,,,,,,,,0,"000000000000","000000000000-0000",319,449
,,,,,,,,0,"000000000000","000000000000-0000",320,450
,,,,,,,,0,"000000000000","000000000000-0000",321,451
,,,,,,,,0,"000000000000","000000000000-0000",322,452
,,,,,,,,0,"000000000000","000000000000-0000",323,453
,,,,,,,,0,"000000000000","000000000000-0000",324,454
,,,,,,,,0,"000000000000","000000000000-0000",325,455
,,,,,,,,0,"000000000000","000000000000-0000",336,456
,,,,,,,,0,"000000000000","000000000000-0000",337,457
,,,,,,,,0,"000000000000","000000000000-0000",338,458
,,,,,,,,0,"000000000000","000000000000-0000",339,459
,,,,,,,,0,"000000000000","000000000000-0000",340,460
,,,,,,,,0,"000000000000","000000000000-0000",341,461
,,,,,,,,0,"000000000000","000000000000-0000",342,462
,,,,,,,,0,"000000000000","000000000000-0000",343,463
,,,,,,,,0,"000000000000","000000000000-0000",344,464
,,,,,,,,0,"000000000000","000000000000-0000",345,465
,,,,,,,,0,"000000000000","000000000000-0000",346,466
,,,,,,,,0,"000000000000","000000000000-0000",347,467
,,,,,,,,0,"000000000000","000000000000-0000",348,468
,,,,,,,,0,"000000000000","000000000000-0000",349,469
,,,,,,,,0,"000000000000","000000000000-0000",350,470
,,,,,,,,0,"000000000000","000000000000-0000",351,471
,,,,,,,,0,"000000000000","000000000000-0000",352,472
,,,,,,,,0,"000000000000","000000000000-0000",353,473
,,,,,,,,0,"000000000000","000000000000-0000",354,474
,,,,,,,,0,"000000000000","000000000000-0000",355,475
,,,,,,,,0,"000000000000","000000000000-0000",366,486
,,,,,,,,0,"000000000000","000000000000-0000",367,487
,,,,,,,,0,"000000000000","000000000000-0000",368,488
,,,,,,,,0,"000000000000","000000000000-0000",369,489
,,,,,,,,0,"000000000000","000000000000-0000",370,490
,,,,,,,,0,"000000000000","000000000000-0000",371,491
,,,,,,,,0,"000000000000","000000000000-0000",372,492
,,,,,,,,0,"000000000000","000000000000-0000",373,493
,,,,,,,,0,"000000000000","000000000000-0000",374,494
,,,,,,,,0,"000000000000","000000000000-0000",375,495
,,,,,,,,0,"000000000000","000000000000-0000",386,496
,,,,,,,,0,"000000000000","000000000000-0000",387,497
,,,,,,,,0,"000000000000","000000000000-0000",388,498
,,,,,,,,0,"000000000000","000000000000-0000",389,499
,,,,,,,,0,"000000000000","000000000000-0000",390,500
,,,,,,,,0,"000000000000","000000000000-0000",391,501
,,,,,,,,0,"000000000000","000000000000-0000",392,502
,,,,,,,,0,"000000000000","000000000000-0000",393,503
,,,,,,,,0,"000000000000","000000000000-0000",394,504
,,,,,,,,0,"000000000000","000000000000-0000",395,505
,,,,,,,,0,"000000000000","000000000000-0000",396,506
,,,,,,,,0,"000000000000","000000000000-0000",397,507
,,,,,,,,0,"000000000000","000000000000-0000",398,508
,,,,,,,,0,"000000000000","000000000000-0000",399,509
,,,,,,,,0,"000000000000","000000000000-0000",400,510
,,,,,,,,0,"000000000000","000000000000-0000",401,511
,,,,,,,,0,"000000000000","000000000000-0000",402,512
,,,,,,,,0,"000000000000","000000000000-0000",403,513
,,,,,,,,0,"000000000000","000000000000-0000",404,514
,,,,,,,,0,"000000000000","000000000000-0000",405,515
,,,,,,,,0,"000000000000","000000000000-0000",416,526
,,,,,,,,0,"000000000000","000000000000-0000",417,527
,,,,,,,,0,"000000000000","000000000000-0000",418,528
,,,,,,,,0,"000000000000","000000000000-0000",419,529
,,,,,,,,0,"000000000000","000000000000-0000",420,530
,,,,,,,,0,"000000000000","000000000000-0000",421,531
,,,,,,,,0,"000000000000","000000000000-0000",422,532
,,,,,,,,0,"000000000000","000000000000-0000",423,533
,,,,,,,,0,"000000000000","000000000000-0000",424,534
,,,,,,,,0,"000000000000","000000000000-0000",425,535
,,,,,,,,0,"000000000000","000000000000-0000",426,536
,,,,,,,,0,"000000000000","000000000000-0000",427,537
,,,,,,,,0,"000000000000","000000000000-0000",428,538
,,,,,,,,0,"000000000000","000000000000-0000",429,539
,,,,,,,,0,"000000000000","000000000000-0000",430,540
,,,,,,,,0,"000000000000","000000000000-0000",431,541
,,,,,,,,0,"000000000000","000000000000-0000",432,542
,,,,,,,,0,"000000000000","000000000000-0000",433,543
,,,,,,,,0,"000000000000","000000000000-0000",434,544
,,,,,,,,0,"000000000000","000000000000-0000",435,545
,,,,,,,,0,"000000000000","000000000000-0000",436,559
,,,,,,,,0,"000000000000","000000000000-0000",438,560
,,,,,,,,0,"000000000000","000000000000-0000",439,561
,,,,,,,,0,"000000000000","000000000000-0000",441,562
,,,,,,,,0,"000000000000","000000000000-0000",443,563
,,,,,,,,0,"000000000000","000000000000-0000",444,564
,,,,,,,,0,"000000000000","000000000000-0000",446,565
,,,,,,,,0,"000000000000","000000000000-0000",448,566
,,,,,,,,0,"000000000000","000000000000-0000",449,567
,,,,,,,,0,"000000000000","000000000000-0000",451,568
,,,,,,,,0,"000000000000","000000000000-0000",453,569
,,,,,,,,0,"000000000000","000000000000-0000",454,570
,,,,,,,,0,"000000000000","000000000000-0000",456,571
,,,,,,,,0,"000000000000","000000000000-0000",458,572
,,,,,,,,0,"000000000000","000000000000-0000",459,573
,,,,,,,,0,"000000000000","000000000000-0000",461,638
,,,,,,,,0,"000000000000","000000000000-0000",462,327
,,,,,,,,0,"000000000000","000000000000-0000",463,328
,,,,,,,,0,"000000000000","000000000000-0000",464,329
,,,,,,,,0,"000000000000","000000000000-0000",465,330
,,,,,,,,0,"000000000000","000000000000-0000",466,331
,,,,,,,,0,"000000000000","000000000000-0000",467,332
,,,,,,,,0,"000000000000","000000000000-0000",468,333
,,,,,,,,0,"000000000000","000000000000-0000",469,334
,,,,,,,,0,"000000000000","000000000000-0000",470,335
,,,,,,,,0,"000000000000","000000000000-0000",471,336
,,,,,,,,0,"000000000000","000000000000-0000",472,337
,,,,,,,,0,"000000000000","000000000000-0000",473,338
,,,,,,,,0,"000000000000","000000000000-0000",474,339
,,,,,,,,0,"000000000000","000000000000-0000",475,340
,,,,,,,,0,"000000000000","000000000000-0000",476,341
,,,,,,,,0,"000000000000","000000000000-0000",477,342
,,,,,,,,0,"000000000000","000000000000-0000",478,343
,,,,,,,,0,"000000000000","000000000000-0000",479,344
,,,,,,,,0,"000000000000","000000000000-0000",480,345
,,,,,,,,0,"000000000000","000000000000-0000",481,346
,,,,,,,,0,"000000000000","000000000000-0000",482,347
,,,,,,,,0,"000000000000","000000000000-0000",483,348
,,,,,,,,0,"000000000000","000000000000-0000",484,349
,,,,,,,,0,"000000000000","000000000000-0000",485,350
,,,,,,,,0,"000000000000","000000000000-0000",486,351
,,,,,,,,0,"000000000000","000000000000-0000",487,352
,,,,,,,,0,"000000000000","000000000000-0000",488,353
,,,,,,,,0,"000000000000","000000000000-0000",489,354
,,,,,,,,0,"000000000000","000000000000-0000",490,355
,,,,,,,,0,"000000000000","000000000000-0000",491,356
,,,,,,,,0,"000000000000","000000000000-0000",492,357
,,,,,,,,0,"000000000000","000000000000-0000",493,358
,,,,,,,,0,"000000000000","000000000000-0000",494,359
,,,,,,,,0,"000000000000","000000000000-0000",495,360
,,,,,,,,0,"000000000000","000000000000-0000",496,361
,,,,,,,,0,"000000000000","000000000000-0000",497,362
,,,,,,,,0,"000000000000","000000000000-0000",498,363
,,,,,,,,0,"000000000000","000000000000-0000",499,364
,,,,,,,,0,"000000000000","000000000000-0000",500,365
,,,,,,,,0,"000000000000","000000000000-0000",501,366
,,,,,,,,0,"000000000000","000000000000-0000",502,419
,,,,,,,,0,"000000000000","000000000000-0000",504,422
,,,,,,,,0,"000000000000","000000000000-0000",505,421
,,,,,,,,0,"000000000000","000000000000-0000",514,426
,,,,,,,,0,"000000000000","000000000000-0000",516,429
,,,,,,,,0,"000000000000","000000000000-0000",517,428
,,,,,,,,0,"000000000000","000000000000-0000",530,194
,,,,,,,,0,"000000000000","000000000000-0000",531,195
,,,,,,,,0,"000000000000","000000000000-0000",532,199
,,,,,,,,0,"000000000000","000000000000-0000",533,200
,,,,,,,,0,"000000000000","000000000000-0000",534,320
,,,,,,,,0,"000000000000","000000000000-0000",535,321
,,,,,,,,0,"000000000000","000000000000-0000",536,322
,,,,,,,,0,"000000000000","000000000000-0000",537,323
,,,,,,,,0,"000000000000","000000000000-0000",538,324
,,,,,,,,0,"000000000000","000000000000-0000",539,433
,,,,,,,,0,"000000000000","000000000000-0000",541,435
,,,,,,,,0,"000000000000","000000000000-0000",543,437
,,,,,,,,0,"000000000000","000000000000-0000",547,440
,,,,,,,,0,"000000000000","000000000000-0000",548,441
,,,,,,,,0,"000000000000","000000000000-0000",551,301
,,,,,,,,0,"000000000000","000000000000-0000",552,634
