INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,CND_SET_CD,OUT_ITEM_CD,FORMAT_SELECTION,DECIMAL_DIGIT,DECIMAL_POINT_ATR,DECIMAL_FRACTION,OUTPUT_MINUS_AS_ZERO,CALC_ATR,FIXED_VALUE_CALC_SYMBOL,FIXED_CALC_VAL,FIXED_LENGTH_OUTPUT,FIXED_LENGTH_INTEGER_DIGIT,FIXED_LENGTH_EDIT_METHOD,NULL_REPLACE_VAL_ATR,NULL_REPLACE_VAL,FIXED_VAL_ATR,FIXED_VAL
,,,,,,,,0,"000000000000","000000000000-0000","77630","0623",1,1,1,1,0,0,0,,0,0,0,0,,0,
,,,,,,,,0,"000000000000","000000000000-0000","77630","0626",1,1,1,1,0,0,0,,0,0,0,0,,0,
