ins_date,ins_ccd,ins_scd,ins_pg,upd_date,upd_ccd,upd_scd,upd_pg,exclus_ver,contract_cd,cid,web_menu_cd,menu_bar_id,title_bar_id,title_bar_name,background_color,image_file,text_color,title_menu_atr,title_menu_cd,display_order
,,,,,,,,0,"000000000000","000000000000-0000","902","%GUID%MENU_BAR_ID_0000000000_902_003","%GUID%TITLE_BAR_ID_00000_902_003_002","帳票","#666666",,"#FFFFFF",0,    ,2
,,,,,,,,0,"000000000000","000000000000-0000","902","%GUID%MENU_BAR_ID_0000000000_902_003","%GUID%TITLE_BAR_ID_00000_902_003_003","アラームリスト","#666666",,"#FFFFFF",0,    ,3
,,,,,,,,0,"000000000000","000000000000-0000","902","%GUID%MENU_BAR_ID_0000000000_902_004","%GUID%TITLE_BAR_ID_00000_902_004_001","工数","#666666",,"#FFFFFF",0,    ,1
,,,,,,,,0,"000000000000","000000000000-0000","902","%GUID%MENU_BAR_ID_0000000000_902_005","%GUID%TITLE_BAR_ID_00000_902_005_001","申請","#666666",,"#FFFFFF",0,    ,1
,,,,,,,,0,"000000000000","000000000000-0000","902","%GUID%MENU_BAR_ID_0000000000_902_005","%GUID%TITLE_BAR_ID_00000_902_005_002","申請・承認一覧","#666666",,"#FFFFFF",0,    ,2
,,,,,,,,0,"000000000000","000000000000-0000","902","%GUID%MENU_BAR_ID_0000000000_902_005","%GUID%TITLE_BAR_ID_00000_902_005_003","36申請","#666666",,"#FFFFFF",0,    ,3
,,,,,,,,0,"000000000000","000000000000-0000","902","%GUID%MENU_BAR_ID_0000000000_902_007","%GUID%TITLE_BAR_ID_00000_902_007_001","設備入力","#666666",,"#FFFFFF",0,    ,1
,,,,,,,,0,"000000000000","000000000000-0000","903","%GUID%MENU_BAR_ID_0000000000_903_001","%GUID%TITLE_BAR_ID_00000_903_001_001","前準備","#666666",,"#FFFFFF",0,    ,1
,,,,,,,,0,"000000000000","000000000000-0000","903","%GUID%MENU_BAR_ID_0000000000_903_001","%GUID%TITLE_BAR_ID_00000_903_001_002","スケジュール","#666666",,"#FFFFFF",0,    ,2
,,,,,,,,0,"000000000000","000000000000-0000","903","%GUID%MENU_BAR_ID_0000000000_903_002","%GUID%TITLE_BAR_ID_00000_903_002_001","打刻","#666666",,"#FFFFFF",0,    ,1
,,,,,,,,0,"000000000000","000000000000-0000","903","%GUID%MENU_BAR_ID_0000000000_903_002","%GUID%TITLE_BAR_ID_00000_903_002_002","実績","#666666",,"#FFFFFF",0,    ,2
,,,,,,,,0,"000000000000","000000000000-0000","903","%GUID%MENU_BAR_ID_0000000000_903_002","%GUID%TITLE_BAR_ID_00000_903_002_003","工数","#666666",,"#FFFFFF",0,    ,3
,,,,,,,,0,"000000000000","000000000000-0000","903","%GUID%MENU_BAR_ID_0000000000_903_002","%GUID%TITLE_BAR_ID_00000_903_002_004","申請","#666666",,"#FFFFFF",0,    ,4
,,,,,,,,0,"000000000000","000000000000-0000","903","%GUID%MENU_BAR_ID_0000000000_903_002","%GUID%TITLE_BAR_ID_00000_903_002_005","設備","#666666",,"#FFFFFF",0,    ,5
,,,,,,,,0,"000000000000","000000000000-0000","903","%GUID%MENU_BAR_ID_0000000000_903_003","%GUID%TITLE_BAR_ID_00000_903_003_001","実績","#666666",,"#FFFFFF",0,    ,1
,,,,,,,,0,"000000000000","000000000000-0000","903","%GUID%MENU_BAR_ID_0000000000_903_003","%GUID%TITLE_BAR_ID_00000_903_003_002","帳票","#666666",,"#FFFFFF",0,    ,2
,,,,,,,,0,"000000000000","000000000000-0000","905","%GUID%MENU_BAR_ID_0000000000_905_001","%GUID%TITLE_BAR_ID_00000_905_001_001","スケジュール","#666666",,"#FFFFFF",0,    ,1
,,,,,,,,0,"000000000000","000000000000-0000","905","%GUID%MENU_BAR_ID_0000000000_905_002","%GUID%TITLE_BAR_ID_00000_905_002_001","打刻","#666666",,"#FFFFFF",0,    ,1
,,,,,,,,0,"000000000000","000000000000-0000","905","%GUID%MENU_BAR_ID_0000000000_905_003","%GUID%TITLE_BAR_ID_00000_905_003_001","実績","#666666",,"#FFFFFF",0,    ,1
,,,,,,,,0,"000000000000","000000000000-0000","905","%GUID%MENU_BAR_ID_0000000000_905_003","%GUID%TITLE_BAR_ID_00000_905_003_002","帳票","#666666",,"#FFFFFF",0,    ,2
,,,,,,,,0,"000000000000","000000000000-0000","905","%GUID%MENU_BAR_ID_0000000000_905_004","%GUID%TITLE_BAR_ID_00000_905_004_001","工数","#666666",,"#FFFFFF",0,    ,1
,,,,,,,,0,"000000000000","000000000000-0000","905","%GUID%MENU_BAR_ID_0000000000_905_005","%GUID%TITLE_BAR_ID_00000_905_005_001","申請","#666666",,"#FFFFFF",0,    ,1
,,,,,,,,0,"000000000000","000000000000-0000","905","%GUID%MENU_BAR_ID_0000000000_905_006","%GUID%TITLE_BAR_ID_00000_905_006_001","設備入力","#666666",,"#FFFFFF",0,    ,1
