ins_date,ins_ccd,ins_scd,ins_pg,upd_date,upd_ccd,upd_scd,upd_pg,exclus_ver,contract_cd,cid,web_menu_cd,title_bar_id,menu_bar_id,display_order,code,menu_cls,system
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_004","MENU_BAR_ID_0000000000000000_001_001",4,"0000",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_004","MENU_BAR_ID_0000000000000000_001_001",5,"0059",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_004","MENU_BAR_ID_0000000000000000_001_001",6,"0063",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_004","MENU_BAR_ID_0000000000000000_001_001",7,"0075",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_002","MENU_BAR_ID_0000000000000000_001_001",1,"0002",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_002","MENU_BAR_ID_0000000000000000_001_001",2,"0003",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_002","MENU_BAR_ID_0000000000000000_001_001",3,"0004",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_002","MENU_BAR_ID_0000000000000000_001_001",4,"0005",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_002","MENU_BAR_ID_0000000000000000_001_001",5,"0000",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_002","MENU_BAR_ID_0000000000000000_001_001",6,"0010",0,1
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_002","MENU_BAR_ID_0000000000000000_001_001",7,"0007",0,1
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_002","MENU_BAR_ID_0000000000000000_001_001",8,"0003",0,1
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_002","MENU_BAR_ID_0000000000000000_001_001",9,"0019",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_001","%GUID%MENU_BAR_ID_0000000000_900_001",1,"0274",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_005","%GUID%MENU_BAR_ID_0000000000_900_001",1,"0002",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_002","%GUID%MENU_BAR_ID_0000000000_900_001",1,"0272",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_003","%GUID%MENU_BAR_ID_0000000000_900_001",1,"0005",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_006","%GUID%MENU_BAR_ID_0000000000_900_001",1,"0197",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_004","%GUID%MENU_BAR_ID_0000000000_900_001",1,"0008",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_002","%GUID%MENU_BAR_ID_0000000000_900_001",2,"0019",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_005","%GUID%MENU_BAR_ID_0000000000_900_001",2,"0043",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_006","%GUID%MENU_BAR_ID_0000000000_900_001",2,"0198",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_003","%GUID%MENU_BAR_ID_0000000000_900_001",2,"0000",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_001","%GUID%MENU_BAR_ID_0000000000_900_001",2,"0000",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_003","%GUID%MENU_BAR_ID_0000000000_900_001",3,"0010",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_006","%GUID%MENU_BAR_ID_0000000000_900_001",3,"0035",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_002","%GUID%MENU_BAR_ID_0000000000_900_001",3,"0020",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_001","%GUID%MENU_BAR_ID_0000000000_900_001",3,"0002",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_003","%GUID%MENU_BAR_ID_0000000000_900_001",4,"0007",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_001","%GUID%MENU_BAR_ID_0000000000_900_001",4,"0003",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_002","%GUID%MENU_BAR_ID_0000000000_900_001",4,"0048",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_003","%GUID%MENU_BAR_ID_0000000000_900_001",5,"0246",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_001","%GUID%MENU_BAR_ID_0000000000_900_001",5,"0004",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_003","%GUID%MENU_BAR_ID_0000000000_900_001",6,"0008",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_001","%GUID%MENU_BAR_ID_0000000000_900_001",6,"0005",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_001","%GUID%MENU_BAR_ID_0000000000_900_001",7,"0030",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_003","%GUID%MENU_BAR_ID_0000000000_900_001",7,"0009",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_003","%GUID%MENU_BAR_ID_0000000000_900_001",8,"0000",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_001","%GUID%MENU_BAR_ID_0000000000_900_001",8,"0006",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_001","%GUID%MENU_BAR_ID_0000000000_900_001",9,"0025",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_003","%GUID%MENU_BAR_ID_0000000000_900_001",9,"0015",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_003","%GUID%MENU_BAR_ID_0000000000_900_001",10,"0054",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_001","%GUID%MENU_BAR_ID_0000000000_900_001",10,"0000",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_003","%GUID%MENU_BAR_ID_0000000000_900_001",11,"0074",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_001","%GUID%MENU_BAR_ID_0000000000_900_001",11,"0232",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_001","%GUID%MENU_BAR_ID_0000000000_900_001",12,"0166",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_003","%GUID%MENU_BAR_ID_0000000000_900_001",12,"0006",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_003","%GUID%MENU_BAR_ID_0000000000_900_001",13,"0012",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_003","%GUID%MENU_BAR_ID_0000000000_900_001",14,"0011",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_003","%GUID%MENU_BAR_ID_0000000000_900_001",15,"0014",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_003","%GUID%MENU_BAR_ID_0000000000_900_001",16,"0013",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_002_001","%GUID%MENU_BAR_ID_0000000000_900_002",1,"0040",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_002_002","%GUID%MENU_BAR_ID_0000000000_900_002",1,"0021",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_002_001","%GUID%MENU_BAR_ID_0000000000_900_002",2,"0171",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_002_002","%GUID%MENU_BAR_ID_0000000000_900_002",2,"0000",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_002_002","%GUID%MENU_BAR_ID_0000000000_900_002",3,"0023",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_002_001","%GUID%MENU_BAR_ID_0000000000_900_002",3,"0183",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_002_002","%GUID%MENU_BAR_ID_0000000000_900_002",4,"0215",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_002_001","%GUID%MENU_BAR_ID_0000000000_900_002",4,"0000",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_002_001","%GUID%MENU_BAR_ID_0000000000_900_002",5,"0020",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_002_001","%GUID%MENU_BAR_ID_0000000000_900_002",6,"0018",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_002_001","%GUID%MENU_BAR_ID_0000000000_900_002",7,"0000",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_002_001","%GUID%MENU_BAR_ID_0000000000_900_002",8,"0019",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_002_001","%GUID%MENU_BAR_ID_0000000000_900_002",9,"0086",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_003_002","%GUID%MENU_BAR_ID_0000000000_900_003",1,"0176",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_003_001","%GUID%MENU_BAR_ID_0000000000_900_003",1,"0174",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_003_001","%GUID%MENU_BAR_ID_0000000000_900_003",2,"0200",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_003_002","%GUID%MENU_BAR_ID_0000000000_900_003",2,"0000",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_003_002","%GUID%MENU_BAR_ID_0000000000_900_003",3,"0177",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_003","%GUID%MENU_BAR_ID_0000000000_900_004",1,"0133",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_004","%GUID%MENU_BAR_ID_0000000000_900_004",1,"0036",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_002","%GUID%MENU_BAR_ID_0000000000_900_004",1,"0024",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_001","%GUID%MENU_BAR_ID_0000000000_900_004",1,"0026",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_004","%GUID%MENU_BAR_ID_0000000000_900_004",2,"0000",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_002","%GUID%MENU_BAR_ID_0000000000_900_004",2,"0000",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_003","%GUID%MENU_BAR_ID_0000000000_900_004",2,"0111",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_003","%GUID%MENU_BAR_ID_0000000000_900_004",3,"0113",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_004","%GUID%MENU_BAR_ID_0000000000_900_004",3,"0053",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_002","%GUID%MENU_BAR_ID_0000000000_900_004",3,"0025",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_002","%GUID%MENU_BAR_ID_0000000000_900_004",4,"0052",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_003","%GUID%MENU_BAR_ID_0000000000_900_004",4,"0275",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_002","%GUID%MENU_BAR_ID_0000000000_900_004",5,"0056",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_003","%GUID%MENU_BAR_ID_0000000000_900_004",5,"0247",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_002","%GUID%MENU_BAR_ID_0000000000_900_004",6,"0134",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_003","%GUID%MENU_BAR_ID_0000000000_900_004",6,"0248",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_002","%GUID%MENU_BAR_ID_0000000000_900_004",7,"0107",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_003","%GUID%MENU_BAR_ID_0000000000_900_004",7,"0114",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_002","%GUID%MENU_BAR_ID_0000000000_900_004",8,"0000",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_003","%GUID%MENU_BAR_ID_0000000000_900_004",8,"0249",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_002","%GUID%MENU_BAR_ID_0000000000_900_004",9,"0110",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_003","%GUID%MENU_BAR_ID_0000000000_900_004",9,"0000",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_002","%GUID%MENU_BAR_ID_0000000000_900_004",10,"0057",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_003","%GUID%MENU_BAR_ID_0000000000_900_004",10,"0055",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_003","%GUID%MENU_BAR_ID_0000000000_900_004",11,"0165",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_003","%GUID%MENU_BAR_ID_0000000000_900_004",12,"0276",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_004_003","%GUID%MENU_BAR_ID_0000000000_900_004",13,"0277",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_005_002","%GUID%MENU_BAR_ID_0000000000_900_005",1,"0269",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_005_001","%GUID%MENU_BAR_ID_0000000000_900_005",1,"0230",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_005_002","%GUID%MENU_BAR_ID_0000000000_900_005",2,"0270",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_005_002","%GUID%MENU_BAR_ID_0000000000_900_005",3,"0000",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_005_002","%GUID%MENU_BAR_ID_0000000000_900_005",4,"0271",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_006_001","%GUID%MENU_BAR_ID_0000000000_900_006",1,"0041",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_006_002","%GUID%MENU_BAR_ID_0000000000_900_006",1,"0139",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_006_004","%GUID%MENU_BAR_ID_0000000000_900_006",1,"0126",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_006_005","%GUID%MENU_BAR_ID_0000000000_900_006",1,"0196",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_006_003","%GUID%MENU_BAR_ID_0000000000_900_006",1,"0046",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_006_003","%GUID%MENU_BAR_ID_0000000000_900_006",2,"0047",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_006_005","%GUID%MENU_BAR_ID_0000000000_900_006",2,"0219",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_006_001","%GUID%MENU_BAR_ID_0000000000_900_006",2,"0217",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_006_002","%GUID%MENU_BAR_ID_0000000000_900_006",2,"0000",0,0
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_006_005","%GUID%MENU_BAR_ID_0000000000_900_006",3,"0220",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_006_002","%GUID%MENU_BAR_ID_0000000000_900_006",3,"0038",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_006_002","%GUID%MENU_BAR_ID_0000000000_900_006",4,"0037",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_006_002","%GUID%MENU_BAR_ID_0000000000_900_006",5,"0031",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_006_002","%GUID%MENU_BAR_ID_0000000000_900_006",6,"0032",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_006_002","%GUID%MENU_BAR_ID_0000000000_900_006",7,"0039",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_006_002","%GUID%MENU_BAR_ID_0000000000_900_006",8,"0033",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_006_002","%GUID%MENU_BAR_ID_0000000000_900_006",9,"0048",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_006_002","%GUID%MENU_BAR_ID_0000000000_900_006",10,"0191",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_006_002","%GUID%MENU_BAR_ID_0000000000_900_006",11,"0049",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_006_002","%GUID%MENU_BAR_ID_0000000000_900_006",12,"0190",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_006_002","%GUID%MENU_BAR_ID_0000000000_900_006",13,"0034",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_006_002","%GUID%MENU_BAR_ID_0000000000_900_006",14,"0050",0,1
