INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CID,CND_SET_CD,OUT_ITEM_CD,FORMAT_SELECTION,NULL_REPLACE_VAL_ATR,NULL_REPLACE_VAL,FIXED_VAL_ATR,FIXED_VAL,CONTRACT_CD
,,,,,,,,0,"000000000000-0000","77605","0001",0,0,,1,"1900/01/01","000000000000"
,,,,,,,,0,"000000000000-0000","77641","0001",0,0,,1,"1900/01/01","000000000000"
