INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,PER_INFO_CTG_ID,START_DATE_ITEM_ID,END_DATE_ITEM_ID,DATE_RANGE_ITEM_ID
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00004","TEN0_COM0_0000000000_CS00004_IS00026","TEN0_COM0_0000000000_CS00004_IS00027","TEN0_COM0_0000000000_CS00004_IS00025"
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00014","TEN0_COM0_0000000000_CS00014_IS00066","TEN0_COM0_0000000000_CS00014_IS00067","TEN0_COM0_0000000000_CS00014_IS00065"
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00015","TEN0_COM0_0000000000_CS00015_IS00071","TEN0_COM0_0000000000_CS00015_IS00072","TEN0_COM0_0000000000_CS00015_IS00070"
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00016","TEN0_COM0_0000000000_CS00016_IS00077","TEN0_COM0_0000000000_CS00016_IS00078","TEN0_COM0_0000000000_CS00016_IS00076"
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00017","TEN0_COM0_0000000000_CS00017_IS00082","TEN0_COM0_0000000000_CS00017_IS00083","TEN0_COM0_0000000000_CS00017_IS00081"
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00018","TEN0_COM0_0000000000_CS00018_IS00087","TEN0_COM0_0000000000_CS00018_IS00088","TEN0_COM0_0000000000_CS00018_IS00086"
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00019","TEN0_COM0_0000000000_CS00019_IS00102","TEN0_COM0_0000000000_CS00019_IS00103","TEN0_COM0_0000000000_CS00019_IS00101"
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00020","TEN0_COM0_0000000000_CS00020_IS00119","TEN0_COM0_0000000000_CS00020_IS00120","TEN0_COM0_0000000000_CS00020_IS00118"
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00021","TEN0_COM0_0000000000_CS00021_IS00255","TEN0_COM0_0000000000_CS00021_IS00256","TEN0_COM0_0000000000_CS00021_IS00254"
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00070","TEN0_COM0_0000000000_CS00070_IS00781","TEN0_COM0_0000000000_CS00070_IS00782","TEN0_COM0_0000000000_CS00070_IS00780"
