INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,ROLE_ID,ROLE_CD,ROLE_TYPE,REF_RANGE,ROLE_NAME,ASSIGN_ATR,APPROVAL_AUTHORITY
,,,,,,,,0,"000000000000","000000000000-0000","00000000-0000-0000-00000000000000000","0000",0,0,"システム管理者",0,
,,,,,,,,0,"000000000000","000000000000-0000","00000000-0000-0000-00000000000000001","0001",1,0,"会社管理者",0,
