INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,WEB_MENU_CD,ROLE_ID
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","000","00000000-0000-0000-00000000000000000"
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","00000000-0000-0000-00000000000000001"
