DOMAIN_ID,ITEM_NO,ITEM_NAME,ITEM_TYPE,REQUIRED,IS_PRIMARYKEY,CHECK_METHOD,FQN
100,14,"個人名他言語",0,false,false,1,"nts.uk.ctx.bs.person.dom.person.info.fullnameset.FullName"
100,15,"個人名他言語カナ",0,false,false,1,"nts.uk.ctx.bs.person.dom.person.info.fullnameset.FullNameKana"
100,16,"個人旧姓",0,false,false,1,"nts.uk.ctx.bs.person.dom.person.info.fullnameset.FullName"
100,17,"個人旧姓カナ",0,false,false,1,"nts.uk.ctx.bs.person.dom.person.info.fullnameset.FullNameKana"
100,18,"個人届出名",0,false,false,1,"nts.uk.ctx.bs.person.dom.person.info.fullnameset.FullName"
100,19,"個人届出名カナ",0,false,false,1,"nts.uk.ctx.bs.person.dom.person.info.fullnameset.FullNameKana"
100,20,"血液型",1,false,false,2,"nts.uk.ctx.bs.person.dom.person.info.BloodType"
100,21,"外部コード",0,false,false,1,"nts.uk.ctx.bs.employee.dom.employee.mgndata.ExternalCode"
101,1,"社員コード",0,true,true,,"nts.uk.ctx.bs.employee.dom.employeeinfo.EmployeeCode"
101,2,"入社年月日",3,true,true,,""
101,3,"退職年月日",3,false,false,,""
102,1,"社員コード",0,true,true,,"nts.uk.ctx.bs.employee.dom.employeeinfo.EmployeeCode"
102,2,"開始日",3,true,true,,""
102,3,"終了日",3,true,true,,""
102,4,"雇用コード",0,true,false,1,"nts.uk.ctx.bs.employee.dom.employment.EmploymentCode"
103,1,"社員コード",0,true,true,1,"nts.uk.ctx.bs.employee.dom.employeeinfo.EmployeeCode"
103,2,"開始日",3,true,true,,""
103,3,"終了日",3,true,true,,""
103,4,"職場コード",0,true,false,1,"nts.uk.ctx.bs.employee.dom.workplace.master.WorkplaceCode"
104,1,"社員コード",0,true,true,1,"nts.uk.ctx.bs.employee.dom.employeeinfo.EmployeeCode"
104,2,"開始日",3,true,true,,""
104,3,"終了日",3,true,true,,""
104,4,"職位コード",0,true,false,1,"nts.uk.ctx.bs.employee.dom.jobtitle.info.JobTitleCode"
105,1,"社員コード",0,true,true,,"nts.uk.ctx.bs.employee.dom.employeeinfo.EmployeeCode"
105,2,"開始日",3,true,true,,""
105,3,"終了日",3,true,true,,""
105,4,"分類コード",0,true,false,1,"nts.uk.ctx.bs.employee.dom.classification.ClassificationCode"
107,1,"社員コード",0,false,true,1,"nts.uk.ctx.bs.employee.dom.employeeinfo.EmployeeCode"
107,2,"開始日",3,false,true,,"nts.arc.time.GeneralDate"
107,3,"終了日",3,false,true,,"nts.arc.time.GeneralDate"
107,4,"休職休業区分",1,true,false,1,"nts.uk.ctx.bs.employee.dom.temporaryabsence.frame.TempAbsenceFrameNo"
107,5,"備考",0,false,false,1,"nts.uk.ctx.bs.employee.dom.temporaryabsence.state.GenericString"
108,1,"社員コード",0,false,true,1,"nts.uk.ctx.bs.employee.dom.employeeinfo.EmployeeCode"
108,2,"開始日",3,false,true,,"nts.arc.time.GeneralDate"
108,3,"終了日",3,false,true,,"nts.arc.time.GeneralDate"
108,4,"短時間勤務区分",1,true,false,2,"nts.uk.ctx.at.shared.dom.shortworktime.ChildCareAtr"
