INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,MAX_NUMBER_LICENSE,WARNING_NUMBER_LICENSE,LICENSE_KEY
,,,,,,,,0,"000000000000",99999,100,"DJSRQVLSBTOGWW"
,,,,,,,,0,"000000000001",99999,100,"DJSRQVLSBTOGWW"
