INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,SELECTION_ITEM_ID,SELECTION_ITEM_NAME,CONTRACT_CD,INTEGRATION_CD,SELECTION_CD_LENGTH,SELECTION_NAME_LENGTH,SELECTION_EXT_CD_LENGTH,CHARACTER_TYPE_ATR,MEMO
,,,,,,,,0,"ITEM_0000000000000000000000000000003","採用区分","000000000001","1 ",2,20,2,0,""
,,,,,,,,0,"ITEM_0000000000000000000000000000004","所属履歴異動種類","000000000001","1 ",2,20,2,0,""
