INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,HIST_ID,SELECTION_ITEM_ID,CID,START_DATE,END_DATE
,,,,,,,,0,"000000000001","TEN1_COM0_HIST_ITEM1_000000000000001","ITEM_0000000000000000000000000000003","000000000001-0000","1900/01/01","9999/12/31"
,,,,,,,,0,"000000000001","TEN1_COM0_HIST_ITEM2_000000000000001","ITEM_0000000000000000000000000000004","000000000001-0000","1900/01/01","9999/12/31"
